#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1335.21,0.00,1335.21,1335.21,1335.21,1335.21
CPTY_A,2016-08-05,0.497268,97988.10,97581.91,414067.31,0.00,98973.75,98973.75
CPTY_A,2017-02-06,1.003002,192042.36,85623.85,666348.38,0.00,195957.57,195957.57
CPTY_A,2017-08-07,1.501632,159304.83,160190.80,663083.88,0.00,164187.70,195957.57
CPTY_A,2018-02-05,2.000262,230296.69,126718.43,833292.38,0.00,239743.06,239743.06
CPTY_A,2018-08-06,2.498892,190163.59,191693.14,798472.75,0.00,199955.06,239743.06
CPTY_A,2019-02-05,3.000262,255455.20,153831.07,944701.25,0.00,271325.33,271325.33
CPTY_A,2019-08-05,3.496152,206231.97,208567.92,890730.50,0.00,221235.28,271325.33
CPTY_A,2020-02-05,4.000000,268953.21,170569.21,1010936.31,0.00,291453.70,291453.70
CPTY_A,2020-08-05,4.497268,219539.85,221931.17,925627.94,0.00,240299.50,291453.70
CPTY_A,2021-02-05,5.000262,274808.07,180048.23,1109553.38,0.00,303852.94,303852.94
CPTY_A,2021-08-05,5.496152,225919.00,230091.27,1019007.13,0.00,252295.50,303852.94
CPTY_A,2022-02-07,6.005741,274057.54,182435.23,1098355.63,0.00,309200.87,309200.87
CPTY_A,2022-08-05,6.496152,223833.51,229217.45,985861.13,0.00,255034.59,309200.87
CPTY_A,2023-02-06,7.003002,273085.63,183519.26,1109162.00,0.00,314333.86,314333.86
CPTY_A,2023-08-07,7.501632,221190.19,226281.14,972245.31,0.00,257160.84,314333.86
CPTY_A,2024-02-05,8.000000,267077.74,179412.10,1030395.69,0.00,313634.16,314333.86
CPTY_A,2024-08-05,8.497268,214193.72,219304.68,940044.38,0.00,254061.63,314333.86
CPTY_A,2025-02-05,9.000262,259186.61,172070.16,1041473.00,0.00,310555.58,314333.86
CPTY_A,2025-08-05,9.496152,207499.00,211429.98,980435.56,0.00,251110.91,314333.86
CPTY_A,2026-02-05,10.000262,248632.53,164037.48,1036618.63,0.00,303949.88,314333.86
CPTY_A,2026-08-05,10.496152,195615.48,200487.69,926453.56,0.00,241529.42,314333.86
CPTY_A,2027-02-05,11.000262,235785.03,153482.73,960503.13,0.00,294088.12,314333.86
CPTY_A,2027-08-05,11.496152,181491.26,186594.74,807965.63,0.00,228633.45,314333.86
CPTY_A,2028-02-07,12.005464,219414.74,138899.75,877347.81,0.00,279249.28,314333.86
CPTY_A,2028-08-07,12.502732,167932.78,172064.41,787358.19,0.00,215878.02,314333.86
CPTY_A,2029-02-05,13.000262,203994.66,123662.42,805634.50,0.00,264873.44,314333.86
CPTY_A,2029-08-06,13.498892,149380.41,153733.96,662984.94,0.00,195911.51,314333.86
CPTY_A,2030-02-05,14.000262,185811.66,106782.20,730348.06,0.00,246155.65,314333.86
CPTY_A,2030-08-05,14.496152,132356.90,136145.32,626090.38,0.00,177094.97,314333.86
CPTY_A,2031-02-05,15.000262,166579.08,88618.06,713634.38,0.00,225151.34,314333.86
CPTY_A,2031-08-05,15.496152,112175.33,115988.71,548591.94,0.00,153134.92,314333.86
CPTY_A,2032-02-05,16.000000,145474.44,71034.50,582148.88,0.00,200612.51,314333.86
CPTY_A,2032-08-05,16.497268,92220.22,95847.81,456558.03,0.00,128452.97,314333.86
CPTY_A,2033-02-07,17.005741,124559.53,49928.40,509337.16,0.00,175281.93,314333.86
CPTY_A,2033-08-05,17.496152,70151.34,73223.65,352329.16,0.00,99694.50,314333.86
CPTY_A,2034-02-06,18.003002,104134.51,30376.49,399602.78,0.00,149502.43,314333.86
CPTY_A,2034-08-07,18.501632,47511.68,50014.18,239505.45,0.00,68897.05,314333.86
CPTY_A,2035-02-05,19.000262,84050.79,11068.30,279195.41,0.00,123108.69,314333.86
CPTY_A,2035-08-06,19.498892,23687.10,25957.54,117591.75,0.00,35043.35,314333.86
CPTY_A,2036-02-05,20.000000,72684.49,76.58,165930.55,0.00,108619.02,314333.86
CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2038-08-05,22.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2039-02-07,23.005741,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2039-08-05,23.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2040-02-06,24.002732,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2040-08-06,24.500000,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2041-02-05,25.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2041-08-05,25.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2042-02-05,26.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2042-08-05,26.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2043-02-05,27.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2043-08-05,27.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2044-02-05,28.000000,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2044-08-05,28.497268,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2045-02-06,29.003002,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2045-08-07,29.501632,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2046-02-05,30.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2046-08-06,30.498892,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2047-02-05,31.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2047-08-05,31.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2048-02-05,32.000000,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2048-08-05,32.497268,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2049-02-05,33.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2049-08-05,33.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2050-02-07,34.005741,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2050-08-05,34.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2051-02-06,35.003002,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2051-08-07,35.501632,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2052-02-05,36.000000,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2052-08-05,36.497268,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2053-02-05,37.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2053-08-05,37.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2054-02-05,38.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2054-08-05,38.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2055-02-05,39.000262,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2055-08-05,39.496152,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2056-02-07,40.005464,0.00,0.00,0.00,0.00,0.00,314333.86
CPTY_A,2056-08-07,40.502732,0.00,0.00,0.00,0.00,0.00,314333.86
